X,Y,timeperiod,timeperi_1,n
6.7076,49.3561,RLM,"roman,late-antique,modern",Vicus Contiomagus
8.5667,50.2715,RM,"roman,modern",Saalburg
8.4108,49.9949,R,roman,Rüsselsheim
7.227,50.5788,RL,"roman,late-antique",Rigomagus
3.0046,51.1844,LM,"late-antique,modern",Oudenburg
7.5844,51.6125,RM,"roman,modern",Oberaden
6.7219,51.1839,RLM,"roman,late-antique,modern",Novaesium
7.4719,50.467,R,roman,Niederbieber
7.5455,50.427,L,late-antique,Neuwied-Engers
8.4923,49.453,L,late-antique,Neckarau
7.5798,48.0291,RL,"roman,late-antique",(Mons) Brisiacus
6.8727,51.1294,L,late-antique,Monheim-Haus Bürgel
8.637,50.3652,R,roman,Langenhain
7.6041,50.309,R,roman,Lahnstein
8.5062,51.4909,R,roman,Kneblinghausen
5.8429,51.7642,L,late-antique,Heumen-Heumensoord
7.1705,51.7395,RM,"roman,modern",Haltern
6.1625,51.4616,L,late-antique,Grubbenvorst-Lottum
8.4818,49.9214,R,roman,Gross-Gerau
6.1156,51.6926,L,late-antique,Goch-Asperden
8.4858,49.7504,R,roman,Gernsheim
8.4313,50.0144,L,late-antique,Flörsheim
5.7434,51.0206,L,late-antique,Feresne?
4.497,50.9601,RM,"roman,modern",Elewijt
6.8421,51.0931,RL,"roman,late-antique",Durnomagus
1.329,48.0681,HL,"hellenistic-republican,late-antique",Dunense Castrum
6.7279,51.4093,R,roman,Duisburg-Rheinhausen
6.9353,51.6739,R,roman,Dorsten-Holsterhausen
5.8788,51.7294,RLM,"roman,late-antique,modern",Ceuclum
6.47,51.6464,RM,"roman,modern",Castra Vetera
8.2827,50.0086,RL,"roman,late-antique",Castellum Mattiacorum
6.5825,51.5691,RL,"roman,late-antique",Calo?
8.6735,50.4371,R,roman,Butzbach
6.8678,51.0652,R,roman,Burungum?
6.3189,51.7139,RL,"roman,late-antique",Burginatium
7.0963,50.7326,RRL,"roman,roman-early-empire-late-antique,late-antique",Bonna
7.5917,50.231,RL,"roman,late-antique",Bodobrica
6.9045,50.5405,RL,"roman,late-antique",Bad Münstereifel-Houverath
4.2,50.9105,HRLM,"hellenistic-republican,roman,late-antique,modern",Asse
6.67,51.4317,RLM,"roman,late-antique,modern",Asciburgium
7.7511,48.5819,RL,"roman,late-antique",Argentorate
8.114,49.7431,RRLM,"roman,roman-early-empire-late-antique,late-antique,modern",*Altiaia
8.499,49.4315,L,late-antique,Alta Ripa
43.3354,38.5038,U,urartian-eastern-anatolia,Van Fortress
45.0441,34.2585,AC,"archaic,classical",Tell Gubba
39.0711,35.0741,L,late-antique,Qasr al-Hayr al-Sharqi/Adada?
43.4111,35.1745,RL,"roman,late-antique",Qal'a Jabbar
43.3504,35.2789,RL,"roman,late-antique",Qal'a al-Bint
