X,Y,label,Type of Ar,centuries,deities
22.25209,38.871397,Hypata - 112/0101,Inscription,"(2:3 BCE,2 BCE)","(3:Sarapis,Isis,Anubis)"
22.25209,38.8714,Hypata - 112/0102,Inscription,"(2:3 BCE,2 BCE)","(3:Sarapis,Isis,Anubis)"
55.3615934,37.103114,Hyrcania - 405/0101,Inscription,(1:3 BCE),(1:Sarapis)
28.7748,44.5476,Istros/Histria - 618/1101,Inscription,(1:3 BCE),(1:Sarapis)
27.133333,35.583333,Karpathos - 204/0901,Dedication,(1:2 BCE),"(3:Sarapis,Isis,Anubis)"
15.088142,37.502959,Katane/Catina,,(1:3 BCE),"(2:Sarapis,Isis)"
24.333333,37.616667,Keos - 202/0801,Inscription,"(2:3 BCE,2 BCE)",(1:Isis)
33.361389,45.203672,Kerkenitis - 115/0301,Inscription,(1:4 BCE),(1:Isis)
27.290939,36.893869,Kos - 204/1001,Dedication,(1:2 BCE),(1:Osiris)
36.3574226,34.2029066,Libo - 402/0601,Inscription,(1:3 BCE),"(2:Isis,Sarapis)"
14.7002376,37.155144,Licodia Eubea,Head,"(2:3 BCE,2 BCE)",(0:)
30.1731682,36.3440572,Limyra,Head,(1:3 BCE),(0:)
27.526039,37.8505485,Magnesia ad Maeandrum - 304/0701,Decree,(1:2 BCE),(1:Sarapis)
27.4873015,38.541317,Magnesia ad Sipylum - 303/0301,Dedication,"(3:2 BCE,1 CE,2 CE)","(2:Sarapis,Isis)"
14.4001243,35.8851671,Melita - 517/0100,Coin,"(3:3 BCE,2 BCE,1 BCE)",(1:Isis)
25.8640625,36.8241875,Minoa - 202/1501,Inscription,"(2:3 BCE,2 BCE)",(1:Sarapis)
25.8640625,36.8241875,Minoa - 202/1502,Dedication,(1:2 BCE),"(3:Sarapis,Isis,Anubis)"
14.479296,37.431079,Morgantina,Head,(0:),"(2:3 BCE,2 BCE)"
27.242415,37.073691,Myndos - 305/1600,Coin,"(2:2 BCE,1 BCE)","(2:Sarapis,Isis)"
26.547048,39.110475,Mytilene - 205/0201,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
36.4146273,45.2341843,Nymphaion/Nymphaeum - 115/0401,Inscription,(1:3 BCE),(1:Isis)
25.738816,35.257679,Olous - 203/0201,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
