Details,subtype,ancient-find-spot,modern-find-sport,province-or-italic-region,modern-country,DARE-no.,GPSX,GPSY,relevance
Thr-Place-005 Gaganica,,,"Gaganica, Gaganitza",Thracia,Bulgaria,,23.108307,43.330679,1
Thr-Place-008 Iarlovci,,,"Iarlovci, Iarlovtzi",Thracia,Bulgaria,,22.553952,42.806496,1
Thr-Place-007 Kabyle,,"Kabyle, Diospolis",Yambol,Thracia,Bulgaria,21380,26.48417,42.55056,1
Thr-Place-008 Kurtovo Konare,,,Kurtovo Konare,Thracia,Bulgaria,,24.504645,42.096073,1
Thr-Place-009 Pautalia,city,"Pautalia, Ulpia Pautalius, Velebusdus",Kyustendil,Thracia,Bulgaria,22370,22.69027,42.28257,2
Thr-Place-010 Philippopolis,city,"Philippopolis,Trimontium",Plovdiv,Thracia,Bulgaria,21408,24.74911,42.14744,2
Thr-Place-011 Radomir,,,Radomir,Thracia,Bulgaria,,22.962576,42.54459,1
Thr-Place-012 Serdica,city,Serdica,Sofia,Thracia,Bulgaria,10880,23.32215,42.69765,4
Thr-Place-013 Tavalicevo,,,Tavalicevo,Thracia,Bulgaria,,22.851938,42.314988,1
Thr-Place-014 Thermes,,,Thermes,Thracia,Greece,,24.9922,41.351202,4
Thr-Place-015 Virovsko,,,Virovsko,Thracia,Bulgaria,,23.794717,43.298496,1
